Model,Batch Size,Epoch,Learning Rate,Test Accuracy
Net,16,10,0.001,90.96
Net,16,10,0.01,96.93
Net,16,10,0.1,98.38
Net,16,100,0.001,90.97
Net,16,100,0.01,96.98
Net,16,100,0.1,98.4
Net,16,500,0.001,90.97
Net,16,500,0.01,96.98
Net,16,500,0.1,98.4
Net,64,10,0.001,83.66
Net,64,10,0.01,93.33
Net,64,10,0.1,97.98
Net,64,100,0.001,83.97
Net,64,100,0.01,93.37
Net,64,100,0.1,97.97
Net,64,500,0.001,83.97
Net,64,500,0.01,93.37
Net,64,500,0.1,97.97
Net,256,10,0.001,59.82
Net,256,10,0.01,89.64
Net,256,10,0.1,95.97
Net,256,100,0.001,60.2
Net,256,100,0.01,89.74
Net,256,100,0.1,96.01
Net,256,500,0.001,60.2
Net,256,500,0.01,89.74
Net,256,500,0.1,96.01
